budget;target_energy;irradiation_min;price_coeff;transport_cost;status;minimum_energy;maximum_affordable_energy;recommended_energy;installation_cost;selected_panel;selected_battery;selected_inverter;scenario
25006222;2.6596;4.1682;1.2574;21110;"recommended_target";1.58;26.89;3.16;9104244;"P1";"B1";"I1";"Catalogue standard"
9422963;4.4042;2.488;1.2943;186531;"no_solution_budget";0.96;0;"";"";"";"";"";"Catalogue standard"
12247487;7.0295;3.6304;1.2555;103950;"no_solution_budget";1.38;0;"";"";"";"";"";"Catalogue standard"
22912716;3.7286;5.0126;1.2989;192862;"recommended_target";1.83;21.99;5.49;14527564;"P1";"B1";"I1";"Catalogue standard"
3161519;6.5114;3.093;1.3352;93474;"no_solution_budget";1.32;0;"";"";"";"";"";"Catalogue standard"
12448973;5.519;2.6049;1.2592;4527;"no_solution_budget";0.8;0;"";"";"";"";"";"Catalogue standard"
21933019;3.2508;4.7098;1.1669;25414;"recommended_target";1.41;14.06;4.22;12991947;"P1";"B1";"I1";"Catalogue standard"
8847658;4.3865;5.1753;0.9437;109976;"no_solution_budget";1.63;0;"";"";"";"";"";"Catalogue standard"
18535391;2.7635;4.5309;0.8716;124034;"recommended_target";1.93;23.16;2.9;6733644;"P2";"B1";"I1";"Catalogue standard"
21331294;7.2583;4.129;0.9132;87891;"recommended_target";1.84;12.9;7.37;19212012;"P1";"B1";"I1";"Catalogue standard"
22654127;1.275;5.3765;0.8859;187934;"recommended_target";2.3;32.23;2.3;8986135;"P1";"B1";"I1";"Catalogue standard"
14440476;6.6498;2.3984;1.3298;71351;"no_solution_budget";0.96;0;"";"";"";"";"";"Catalogue standard"
27907454;4.28;2.3706;1.3251;82806;"recommended_budget_limited";0.65;2.93;2.93;27842141;"P2";"B1";"I1";"Catalogue standard"
27506715;1.3505;3.7488;0.9957;113795;"recommended_target";1.95;13.68;1.95;13437187;"P1";"B1";"I1";"Catalogue standard"
27023535;6.6423;4.5039;0.9764;110835;"recommended_target";1.27;20.38;7.64;15460119;"P1";"B1";"I1";"Catalogue standard"
19333712;7.1587;5.2465;1.0447;178984;"no_solution_budget";1.88;0;"";"";"";"";"";"Catalogue standard"
18157943;6.5423;4.1627;1.2195;246376;"recommended_target";1.81;12.68;7.24;15157671;"P1";"B2";"I1";"Catalogue standard"
10160949;0.5815;4.6783;1.1997;67243;"no_solution_budget";1.84;0;"";"";"";"";"";"Catalogue standard"
24254860;0.7427;5.2503;1.1902;207329;"recommended_target";1.46;13.15;1.46;12781462;"P1";"B1";"I1";"Catalogue standard"
21824254;4.4381;5.0432;0.9662;151064;"recommended_target";1.62;7.3;4.87;19444767;"P1";"B2";"I1";"Catalogue standard"
16832960;1.8304;2.3439;1.1476;149205;"recommended_target";0.98;9.83;1.97;9887830;"P1";"B1";"I1";"Catalogue standard"
29595388;4.4843;3.187;1.193;90269;"recommended_target";1.12;20.22;4.49;13678012;"P1";"B2";"I1";"Catalogue standard"
20874836;3.5442;2.8707;1.3092;127550;"recommended_target";1.44;10.1;4.33;13460583;"P1";"B1";"I1";"Catalogue standard"
27289179;1.0699;3.8327;1.0163;120994;"recommended_target";1.39;22.17;1.39;7532088;"P1";"B1";"I1";"Catalogue standard"
27179446;6.1275;2.5507;1.1657;202181;"recommended_target";0.93;10.18;6.48;19827810;"P1";"B1";"I1";"Catalogue standard"
25184684;4.361;2.2565;0.9665;79423;"recommended_budget_limited";0.65;1.3;1.3;24885304;"P1";"B1";"I1";"Catalogue standard"
10663068;2.824;3.1462;1.0079;106710;"recommended_target";1.46;5.84;2.92;9134436;"P1";"B1";"I1";"Catalogue standard"
16928978;3.3604;4.8952;0.8548;171037;"recommended_target";1.42;14.21;4.26;11503841;"P1";"B1";"I1";"Catalogue standard"
22228009;0.5391;4.2745;0.8678;107302;"recommended_target";1.59;22.22;1.59;6594711;"P1";"B1";"I1";"Catalogue standard"
16190777;4.5086;5.0161;1.1413;144835;"recommended_target";1.46;18.93;5.82;8585654;"P1";"B1";"I1";"Catalogue standard"
12022455;5.2871;2.2769;1.3377;228545;"no_solution_budget";0.72;0;"";"";"";"";"";"Catalogue standard"
4218791;4.0927;3.665;1.2088;120116;"no_solution_budget";0.99;0;"";"";"";"";"";"Catalogue standard"
23751719;0.9585;2.7075;1.0548;9916;"recommended_target";1.42;17.01;1.42;8368766;"P1";"B1";"I1";"Catalogue standard"
18948992;7.4577;2.2063;0.9936;106627;"recommended_budget_limited";0.7;4.23;4.23;18923580;"P1";"B2";"I1";"Catalogue standard"
28233404;1.8984;3.8924;1.0589;76696;"recommended_target";1.71;20.49;2.56;12180822;"P2";"B1";"I1";"Catalogue standard"
3708266;5.6407;4.9014;1.1572;147787;"no_solution_budget";1.51;0;"";"";"";"";"";"Catalogue standard"
9179020;6.646;4.6281;1.0366;142413;"no_solution_budget";1.43;0;"";"";"";"";"";"Catalogue standard"
16191826;5.969;3.9203;1.0792;16961;"recommended_target";1.12;6.72;6.72;15976822;"P1";"B2";"I1";"Catalogue standard"
25294953;5.9386;2.4261;1.1723;59190;"recommended_target";0.65;6.53;6.53;24494659;"P1";"B1";"I2";"Catalogue standard"
5060691;3.1604;3.1637;1.3163;148931;"no_solution_budget";1.36;0;"";"";"";"";"";"Catalogue standard"
5788850;6.5771;3.9783;1.2316;25773;"no_solution_budget";1.95;0;"";"";"";"";"";"Catalogue standard"
2526064;3.2229;3.4737;0.9664;8506;"no_solution_budget";1.47;0;"";"";"";"";"";"Catalogue standard"
29305937;6.4838;3.707;1.128;3665;"recommended_target";1.84;11.04;7.36;9500882;"P1";"B1";"I1";"Catalogue standard"
23471994;4.5102;5.2384;0.9965;26189;"recommended_target";2.58;20.62;5.15;13332592;"P1";"B1";"I1";"Catalogue standard"
13766127;7.3533;4.3807;0.8525;107896;"recommended_budget_limited";1.23;6.14;6.14;12964269;"P1";"B2";"I1";"Catalogue standard"
21328837;7.0713;5.2526;1.2094;82601;"recommended_target";1.54;15.36;7.68;14606902;"P1";"B2";"I1";"Catalogue standard"
17589314;7.4456;4.0151;1.3108;183513;"recommended_budget_limited";1.77;3.54;3.54;17497434;"P1";"B2";"I1";"Catalogue standard"
14860260;2.7406;4.3699;1.0258;189673;"recommended_target";2.18;13.11;3.28;7234803;"P2";"B1";"I1";"Catalogue standard"
15945708;1.9056;3.8466;1.093;30090;"recommended_target";1.18;12.98;2.36;8646108;"P1";"B1";"I1";"Catalogue standard"
28578242;0.412;2.7893;1.3202;12893;"recommended_target";0.88;7.06;0.88;15239962;"P1";"B1";"I1";"Catalogue standard"
10012785;6.4954;3.2544;1.0309;247579;"no_solution_budget";1.2;0;"";"";"";"";"";"Catalogue standard"
2466379;4.9298;2.5442;1.0595;95983;"no_solution_budget";0.78;0;"";"";"";"";"";"Catalogue standard"
20322943;1.6587;4.9249;0.8534;25646;"recommended_target";2.05;24.6;2.05;8969373;"P1";"B1";"I1";"Catalogue standard"
6384176;7.9307;5.3165;1.1221;102738;"no_solution_budget";2.36;0;"";"";"";"";"";"Catalogue standard"
20208828;2.6354;3.8901;0.8702;88588;"recommended_target";1.81;29.81;2.71;5803372;"P2";"B1";"I1";"Catalogue standard"
14756448;6.0812;5.0761;1.323;221058;"no_solution_budget";2.22;0;"";"";"";"";"";"Catalogue standard"
1658965;1.0109;2.3408;1.1708;16904;"no_solution_budget";0.81;0;"";"";"";"";"";"Catalogue standard"
2234968;1.6447;3.8496;0.9918;97145;"no_solution_budget";1.75;0;"";"";"";"";"";"Catalogue standard"
26647264;6.8645;2.5018;0.861;247944;"recommended_target";0.66;13.21;7.27;19015141;"P1";"B2";"I1";"Catalogue standard"
21766559;7.9839;5.349;0.8559;173903;"recommended_target";2.3;22.99;9.19;13944378;"P1";"B2";"I1";"Catalogue standard"
21758824;0.6738;3.3762;1.1406;39702;"recommended_target";0.97;8.77;0.97;11953531;"P1";"B1";"I1";"Catalogue standard"
9225475;1.8686;2.2468;1.1241;112537;"recommended_budget_limited";0.71;1.42;1.42;8108899;"P1";"B1";"I1";"Catalogue standard"
14763493;1.3269;4.0029;1.0993;17063;"recommended_target";1.63;8.15;1.63;9701278;"P1";"B1";"I1";"Catalogue standard"
6280597;6.6274;3.9581;0.9545;220713;"no_solution_budget";1.98;0;"";"";"";"";"";"Catalogue standard"
3250605;1.3512;2.64;1.2461;186630;"no_solution_budget";0.85;0;"";"";"";"";"";"Catalogue standard"
15782238;3.6624;2.698;1.0761;10120;"recommended_target";0.71;10;4.29;9813175;"P1";"B1";"I1";"Catalogue standard"
3595521;3.5166;2.9748;1.0181;207895;"no_solution_budget";1.21;0;"";"";"";"";"";"Catalogue standard"
23481665;5.4464;4.9067;1.1327;51427;"recommended_target";2.21;11.06;6.64;20257465;"P1";"B1";"I1";"Catalogue standard"
1943638;5.1759;3.2792;1.1333;72988;"no_solution_budget";1.11;0;"";"";"";"";"";"Catalogue standard"
9651335;4.0055;2.2909;0.9738;201134;"recommended_target";1.02;6.14;4.1;7634592;"P1";"B1";"I1";"Catalogue standard"
6632895;6.5505;5.3673;1.173;127796;"no_solution_budget";2.26;0;"";"";"";"";"";"Catalogue standard"
22967774;5.1116;2.7057;1.0455;183250;"recommended_target";1.19;8.3;5.33;17346054;"P2";"B1";"I1";"Catalogue standard"
3093945;2.2588;4.6807;0.995;141856;"no_solution_budget";1.67;0;"";"";"";"";"";"Catalogue standard"
18164558;3.8826;3.7063;0.8898;184773;"recommended_target";1.7;15.34;5.11;9796750;"P1";"B1";"I1";"Catalogue standard"
28830680;2.4587;4.6143;1.0175;106397;"recommended_target";1.87;26.11;2.8;11707299;"P2";"B1";"I1";"Catalogue standard"
26272406;7.7685;3.826;0.9464;208162;"recommended_target";1.95;14.62;7.79;13159165;"P1";"B1";"I1";"Catalogue standard"
14155029;6.8949;2.3138;0.8552;187177;"recommended_budget_limited";0.83;6.61;6.61;12255146;"P1";"B1";"I2";"Catalogue standard"
13049530;0.9013;2.2903;1.0232;182048;"recommended_target";0.75;3;1.13;9501600;"P2";"B1";"I1";"Catalogue standard"
5991603;2.8781;3.0153;1.267;234631;"no_solution_budget";1.44;0;"";"";"";"";"";"Catalogue standard"
13280597;5.8141;5.1544;0.8744;153957;"recommended_target";1.53;15.31;6.12;7717084;"P1";"B1";"I1";"Catalogue standard"
15842146;0.6554;4.563;1.165;36273;"recommended_target";1.96;11.77;1.96;11007321;"P1";"B1";"I1";"Catalogue standard"
8299396;5.4998;5.3559;0.9414;41381;"no_solution_budget";2.71;0;"";"";"";"";"";"Catalogue standard"
5969480;4.476;3.6325;1.0812;38581;"no_solution_budget";1;0;"";"";"";"";"";"Catalogue standard"
9181141;4.7384;3.3019;0.8896;40841;"recommended_budget_limited";1.08;3.25;3.25;8850616;"P1";"B1";"I1";"Catalogue standard"
7588180;5.7842;5.0017;1.2517;145679;"no_solution_budget";1.39;0;"";"";"";"";"";"Catalogue standard"
19867708;7.2422;2.7616;1.2654;154210;"no_solution_budget";1.3;0;"";"";"";"";"";"Catalogue standard"
3397062;3.3616;4.3532;0.9143;123290;"no_solution_budget";1.95;0;"";"";"";"";"";"Catalogue standard"
29845563;7.4966;3.8163;1.3037;28111;"recommended_budget_limited";1.71;5.13;5.13;29205622;"P1";"B1";"I1";"Catalogue standard"
13719233;2.7539;2.9565;1.2833;176724;"no_solution_budget";0.84;0;"";"";"";"";"";"Catalogue standard"
27204133;5.6333;3.819;1.3067;181385;"recommended_budget_limited";1.69;5.06;5.06;25813370;"P1";"B2";"I1";"Catalogue standard"
25891417;1.9384;4.1688;1.01;134202;"recommended_target";2.07;15.54;2.07;8058327;"P1";"B1";"I1";"Catalogue standard"
14774462;6.0628;3.3466;0.9755;107959;"recommended_target";1.23;12.3;6.15;10122232;"P1";"B2";"I1";"Catalogue standard"
10928083;4.5259;2.8121;1.0384;179751;"recommended_budget_limited";1.14;2.28;2.28;10121567;"P1";"B1";"I1";"Catalogue standard"
25896598;4.825;3.5779;1.2889;203630;"recommended_target";1.54;23.1;6.16;14399214;"P1";"B1";"I1";"Catalogue standard"
26939980;7.8314;3.7181;1.1435;196390;"recommended_target";1.93;25.05;8.68;17562607;"P2";"B2";"I1";"Catalogue standard"
29001877;4.5069;5.0117;0.8666;115922;"recommended_target";1.57;23.51;4.7;15753294;"P1";"B2";"I1";"Catalogue standard"
5873606;5.2425;3.3068;0.8956;78381;"no_solution_budget";1.16;0;"";"";"";"";"";"Catalogue standard"
6935519;5.2725;4.7399;0.9114;221869;"no_solution_budget";2.3;0;"";"";"";"";"";"Catalogue standard"
7920384;3.2155;5.3469;1.3364;54217;"no_solution_budget";1.62;0;"";"";"";"";"";"Catalogue standard"
7598270;6.8702;3.2211;1.1776;140020;"no_solution_budget";1.17;0;"";"";"";"";"";"Catalogue standard"
5984304;3.521;4.8685;1.081;207741;"no_solution_budget";1.31;0;"";"";"";"";"";"Catalogue standard"
24365709;4.0871;4.65;1.138;245677;"recommended_target";1.84;22.1;5.52;9410225;"P1";"B1";"I1";"Catalogue standard"
19957218;4.3043;2.7338;0.8968;196594;"recommended_target";1.08;11.93;4.34;9815097;"P1";"B1";"I1";"Catalogue standard"
5662779;5.806;3;1.0102;223098;"recommended_budget_limited";0.8;0.8;0.8;5452429;"P1";"B1";"I1";"Catalogue standard"
10794061;7.9547;3.0418;1.3374;223045;"no_solution_budget";0.82;0;"";"";"";"";"";"Catalogue standard"
27341623;2.2679;4.8162;1.2193;20653;"recommended_target";2.52;17.67;2.52;19122157;"P1";"B2";"I1";"Catalogue standard"
2568810;7.2019;5.3302;1.2596;65495;"no_solution_budget";1.43;0;"";"";"";"";"";"Catalogue standard"
9945351;2.1365;5.2662;1.1258;65421;"recommended_target";2.75;5.49;2.75;8454694;"P1";"B1";"I1";"Catalogue standard"
13388246;4.1131;4.0549;1.3066;7447;"no_solution_budget";1.31;0;"";"";"";"";"";"Catalogue standard"
9851534;3.4348;5.2076;1.0794;7991;"no_solution_budget";1.47;0;"";"";"";"";"";"Catalogue standard"
3307185;5.7505;2.8675;1.231;7873;"no_solution_budget";1.18;0;"";"";"";"";"";"Catalogue standard"
28489375;2.1667;2.3112;0.995;247037;"recommended_target";0.92;13.78;2.76;7000830;"P1";"B1";"I1";"Catalogue standard"
8788299;3.7728;3.3779;1.035;20570;"recommended_target";1.61;6.42;4.82;7553929;"P1";"B1";"I1";"Catalogue standard"
23626290;6.1205;3.98;1.3274;42020;"recommended_budget_limited";1.1;5.51;5.51;22283296;"P1";"B1";"I1";"Catalogue standard"
24844305;5.4515;3.1785;0.8611;193648;"recommended_target";1.6;16.04;6.42;18066843;"P1";"B2";"I1";"Catalogue standard"
21935459;3.5318;2.9338;0.9595;51953;"recommended_target";0.99;9.92;3.97;14138159;"P1";"B1";"I1";"Catalogue standard"
13352914;4.5468;3.3216;1.146;91608;"no_solution_budget";1.51;0;"";"";"";"";"";"Catalogue standard"
12998257;1.3677;4.8805;1.2747;154019;"no_solution_budget";1.47;0;"";"";"";"";"";"Catalogue standard"
29207726;5.9698;5.3856;1.2985;34907;"recommended_target";1.87;27.99;7.46;18646905;"P1";"B2";"I1";"Catalogue standard"
1376959;5.5441;5.077;0.9507;38645;"no_solution_budget";1.73;0;"";"";"";"";"";"Catalogue standard"
19523948;7.7664;2.5262;1.3389;223418;"no_solution_budget";0.9;0;"";"";"";"";"";"Catalogue standard"
17726091;4.8164;3.3793;0.9664;113059;"recommended_target";1.31;9.17;5.24;15643427;"P1";"B2";"I1";"Catalogue standard"
27118795;4.1709;4.904;1.1017;203990;"recommended_target";2.55;20.42;5.11;9074805;"P1";"B1";"I1";"Catalogue standard"
15907890;4.4398;4.2181;1.336;63934;"recommended_budget_limited";1.51;1.51;1.51;15811722;"P1";"B1";"I1";"Catalogue standard"
20495186;4.1611;2.9919;1.0073;36512;"recommended_target";1.55;23.26;4.65;6652063;"P1";"B1";"I1";"Catalogue standard"
21050950;7.1498;3.3803;0.8599;47175;"recommended_target";1.22;7.33;7.33;18110177;"P1";"B2";"I2";"Catalogue standard"
13636510;1.8279;2.7104;1.1102;160600;"recommended_target";1.25;7.5;1.87;9398439;"P2";"B1";"I1";"Catalogue standard"
21253847;5.6183;4.9621;1.0878;29774;"recommended_budget_limited";2.17;4.33;4.33;20603009;"P1";"B1";"I1";"Catalogue standard"
14632076;1.5646;4.2988;0.8879;44332;"recommended_target";1.27;10.14;1.9;8970620;"P2";"B1";"I1";"Catalogue standard"
3499777;7.7099;5.1592;0.9082;70640;"no_solution_budget";1.38;0;"";"";"";"";"";"Catalogue standard"
11560167;4.0725;4.9279;1.1002;160614;"no_solution_budget";2.32;0;"";"";"";"";"";"Catalogue standard"
5126561;1.6484;4.0873;1.0955;184957;"no_solution_budget";2.08;0;"";"";"";"";"";"Catalogue standard"
22720574;0.3164;3.4683;1.2809;13743;"recommended_target";1.12;6.74;1.12;14422196;"P1";"B1";"I1";"Catalogue standard"
16201280;3.5279;5.1808;0.9308;155623;"recommended_target";2.07;18.65;4.14;7350760;"P1";"B1";"I1";"Catalogue standard"
27293925;4.3512;2.7759;1.0793;31727;"recommended_target";1.33;19.89;5.3;11407105;"P1";"B1";"I1";"Catalogue standard"
